Timestamp,EDA,Note,AGG,ED,SIB,Condition
1557230918000,0,0,0,0,0,0
1557230918250,0.841227,0,0,0,0,0
1557230918500,0.838933,0,0,0,0,0
1557230918750,0.751865,0,0,0,0,0
1557230919000,0.605899,0,0,0,0,0
1557230919250,0.470176,0,0,0,0,0
1557230919500,0.684003,0,0,0,0,0
1557230919750,0.529074,0,0,0,0,0
1557230920000,0.846615,0,0,0,0,0
1557230920250,0.791558,0,0,0,0,0
1557230920500,0.808203,0,0,0,0,0
1557230920750,0.877345,0,0,0,0,0
1557230921000,0.882466,0,0,0,0,0
1557230921250,0.713453,0,0,0,0,0
1557230921500,0.883747,0,0,0,0,0
1557230921750,0.937524,0,0,0,0,0
1557230922000,0.943926,0,0,0,0,0
1557230922250,1.029713,0,0,0,0,0
1557230922500,0.977286,0,0,0,0,0
1557230922750,0.972164,0,0,0,0,0
1557230923000,0.932471,0,0,0,0,0
1557230923250,0.905583,0,0,0,0,0
1557230923500,0.92863,0,0,0,0,0
1557230923750,0.926069,0,0,0,0,0
1557230924000,0.988809,0,0,0,0,0
1557230924250,0.629015,0,0,0,0,0
1557230924500,0.943995,0,0,0,0,0
1557230924750,0.963201,0,0,0,0,0
1557230925000,0.99137,0,0,0,0,0
1557230925250,1.032343,0,0,0,0,0
1557230925500,1.074596,0,0,0,0,0
1557230925750,1.120691,0,0,0,0,0
1557230926000,1.145019,0,0,0,0,0
1557230926250,1.170627,0,0,0,0,0
1557230926500,1.174468,0,0,0,0,0
1557230926750,1.173188,0,0,0,0,0
1557230927000,1.11813,0,0,0,0,0
1557230927250,1.15014,0,0,0,0,0
1557230927500,1.152701,0,0,0,0,0
1557230927750,1.173188,0,0,0,0,0
1557230928000,1.207759,0,0,0,0,0
1557230928250,1.314032,0,0,0,0,0
1557230928500,1.430549,0,0,0,0,0
1557230928750,1.564992,0,0,0,0,0
1557230929000,1.522837,0,0,0,0,0
1557230929250,1.364067,0,0,0,0,0
1557230929500,1.34102,0,0,0,0,0
1557230929750,1.274439,0,0,0,0,0
1557230930000,1.255233,0,0,0,0,0
1557230930250,1.232185,0,0,0,0,0
1557230930500,1.398638,0,0,0,0,0
1557230930750,1.548446,0,0,0,0,0
1557230931000,1.34102,0,0,0,0,0
1557230931250,1.275719,0,0,0,0,0
1557230931500,1.050368,0,0,0,0,0
1557230931750,1.052928,0,0,0,0,0
1557230932000,0.835259,0,0,0,0,0
1557230932250,0.956799,0,0,0,0,0
1557230932500,1.033623,0,0,0,0,0
1557230932750,1.224404,0,0,0,0,0
1557230933000,1.344762,0,0,0,0,0
1557230933250,1.380613,0,0,0,0,0
1557230933500,1.372931,0,0,0,0,0
1557230933750,1.301228,0,0,0,0,0
1557230934000,1.303789,0,0,0,0,0
1557230934250,1.292265,0,0,0,0,0
1557230934500,1.305069,0,0,0,0,0
1557230934750,1.293546,0,0,0,0,0
1557230935000,1.260255,0,0,0,0,0
1557230935250,1.187272,0,0,0,0,0
1557230935500,1.169346,0,0,0,0,0
1557230935750,1.161664,0,0,0,0,0
1557230936000,1.162944,0,0,0,0,0
1557230936250,1.166786,0,0,0,0,0
1557230936500,1.161664,0,0,0,0,0
1557230936750,1.183431,0,0,0,0,0
1557230937000,1.164225,0,0,0,0,0
1557230937250,1.188552,0,0,0,0,0
1557230937500,1.041306,0,0,0,0,0
1557230937750,0.80315,0,0,0,0,0
1557230938000,0.837721,0,0,0,0,0
1557230938250,1.048988,0,0,0,0,0
1557230938500,1.123252,0,0,0,0,0
1557230938750,0.942715,0,0,0,0,0
1557230939000,0.905583,0,0,0,0,0
1557230939250,0.900461,0,0,0,0,0
1557230939500,1.104046,0,0,0,0,0
