Timestamp,EDA,Note,AGG,ED,SIB,Condition
1561472001000,0,0,0,0,0,0
1561472001250,0,0,0,0,0,0
1561472001500,0,0,0,0,0,0
1561472001750,0,1,0,0,0,0
1561472002000,0,1,0,0,0,0
1561472002250,0,1,0,0,0,0
1561472002500,0,1,0,0,0,0
1561472002750,0,1,0,0,0,0
1561472003000,0,0,0,0,0,0
1561472003250,0,0,0,0,0,0
1561472003500,0,0,0,0,0,0
1561472003750,0,0,0,0,0,0
1561472004000,0,0,0,0,0,0
1561472004250,0.28449,0,0,0,0,0
1561472004500,0.395979,0,0,0,0,0
1561472004750,0.398542,0,0,0,0,0
1561472005000,0.399823,0,0,0,0,0
1561472005250,0.404949,0,0,0,0,0
1561472005500,0.404949,0,0,0,0,0
1561472005750,0.404949,0,0,0,0,0
1561472006000,0.406231,0,0,0,0,0
1561472006250,0.410075,0,0,0,0,0
1561472006500,0.416483,0,0,0,0,0
1561472006750,0.419046,0,0,0,0,0
1561472007000,0.416483,0,0,0,0,0
1561472007250,0.420327,0,0,0,0,0
1561472007500,0.425453,0,0,0,0,0
1561472007750,0.439549,0,0,0,0,0
1561472008000,0.449801,0,0,0,0,0
1561472008250,0.445957,0,0,0,0,0
1561472008500,0.44852,0,0,0,0,0
1561472008750,0.456209,0,0,0,0,0
1561472009000,0.463898,0,0,0,0,0
1561472009250,0.472868,0,0,0,0,0
1561472009500,0.47415,0,0,0,0,0
1561472009750,0.48312,0,0,0,0,0
1561472010000,0.479276,0,0,0,0,0
1561472010250,0.48312,0,0,0,0,0
1561472010500,0.489527,0,0,0,0,0
1561472010750,0.480557,0,0,0,0,0
1561472011000,0.48312,0,0,0,0,0
1561472011250,0.495935,0,0,0,0,0
1561472011500,0.493372,0,0,0,0,0
1561472011750,0.484401,0,0,0,0,0
1561472012000,0.462616,0,0,0,0,0
1561472012250,0.454927,0,0,0,0,0
1561472012500,0.453646,0,0,0,0,0
1561472012750,0.453646,0,0,0,0,0
1561472013000,0.452364,0,0,0,0,0
1561472013250,0.445957,0,0,0,0,0
1561472013500,0.442112,0,0,0,0,0
1561472013750,0.443394,0,0,0,0,0
1561472014000,0.445957,0,0,0,0,0
1561472014250,0.45749,0,0,0,0,0
1561472014500,0.460053,0,0,0,0,0
1561472014750,0.460053,0,0,0,0,0
1561472015000,0.460053,0,0,0,0,0
1561472015250,0.458772,0,0,0,0,0
1561472015500,0.45749,0,0,0,0,0
1561472015750,0.45749,0,0,0,0,0
1561472016000,0.461335,0,0,0,0,0
1561472016250,0.467742,0,0,0,0,0
1561472016500,0.471587,0,0,0,0,0
1561472016750,0.472868,0,0,0,0,0
1561472017000,0.472868,0,0,0,0,0
1561472017250,0.47415,0,0,0,0,0
1561472017500,0.471587,0,0,0,0,0
1561472017750,0.472868,0,0,0,0,0
1561472018000,0.472868,0,0,0,0,0
1561472018250,0.47415,0,0,0,0,0
1561472018500,0.47415,0,0,0,0,0
1561472018750,0.471587,0,0,0,0,0
1561472019000,0.471587,0,0,0,0,0
1561472019250,0.471587,0,0,0,0,0
1561472019500,0.467742,0,0,0,0,0
1561472019750,0.470305,0,0,0,0,0
1561472020000,0.47415,0,0,0,0,0
1561472020250,0.472868,0,0,0,0,0
1561472020500,0.490809,0,0,0,0,0
1561472020750,0.481838,0,0,0,0,0
1561472021000,0.480557,0,0,0,0,0
1561472021250,0.481838,0,0,0,0,0
1561472021500,0.481838,0,0,0,0,0
