Timestamp,ACC_X,ACC_Y,ACC_Z,Note,AGG,ED,SIB,Condition
1569342894000,15,-9,59,0,0,0,0,0
1569342894031.25,17,-11,62,0,0,0,0,0
1569342894062.5,16,-10,62,0,0,0,0,0
1569342894093.75,5,-5,63,0,0,0,0,0
1569342894125,12,-7,60,0,0,0,0,0
1569342894156.25,13,-7,59,0,0,0,0,0
1569342894187.5,19,-5,63,0,0,0,0,0
1569342894218.75,20,-13,59,0,0,0,0,0
1569342894250,25,-14,62,0,0,0,0,0
1569342894281.25,22,-9,60,0,0,0,0,0
1569342894312.5,20,-10,60,0,0,0,0,0
1569342894343.75,15,-9,57,0,0,0,0,0
1569342894375,17,-1,56,0,0,0,0,0
1569342894406.25,23,-10,59,0,0,0,0,0
1569342894437.5,56,-24,65,0,0,0,0,0
1569342894468.75,30,-10,55,0,0,0,0,0
1569342894500,31,-12,59,0,0,0,0,0
1569342894531.25,26,-19,57,0,0,0,0,0
1569342894562.5,37,-16,61,0,0,0,0,0
1569342894593.75,35,-14,60,0,0,0,0,0
1569342894625,31,-14,58,0,0,0,0,0
1569342894656.25,33,-11,56,0,0,0,0,0
1569342894687.5,41,-13,60,0,0,0,0,0
1569342894718.75,29,-16,57,0,0,0,0,0
1569342894750,34,-21,59,0,0,0,0,0
1569342894781.25,28,-19,57,0,0,0,0,0
1569342894812.5,28,-19,59,0,0,0,0,0
1569342894843.75,19,-18,50,0,0,0,0,0
1569342894875,20,-22,50,0,0,0,0,0
1569342894906.25,24,-19,54,0,0,0,0,0
1569342894937.5,21,-21,53,0,0,0,0,0
1569342894968.75,23,-20,55,0,0,0,0,0
1569342895000,20,-18,51,0,0,0,0,0
1569342895031.25,27,-25,53,0,0,0,0,0
1569342895062.5,25,-19,54,0,0,0,0,0
1569342895093.75,21,-23,53,0,0,0,0,0
1569342895125,23,-27,49,0,0,0,0,0
1569342895156.25,28,-33,42,0,0,0,0,0
1569342895187.5,23,-24,47,0,0,0,0,0
1569342895218.75,23,-19,49,0,0,0,0,0
1569342895250,38,-19,57,0,0,0,0,0
1569342895281.25,24,-19,59,0,0,0,0,0
1569342895312.5,28,-16,63,0,0,0,0,0
1569342895343.75,17,-10,63,0,0,0,0,0
1569342895375,17,-15,65,0,0,0,0,0
1569342895406.25,20,-15,64,0,0,0,0,0
1569342895437.5,16,-17,56,0,0,0,0,0
1569342895468.75,31,-15,53,0,0,0,0,0
1569342895500,34,-17,58,0,0,0,0,0
1569342895531.25,20,-18,58,0,0,0,0,0
1569342895562.5,20,-19,48,0,0,0,0,0
1569342895593.75,30,-18,56,0,0,0,0,0
1569342895625,11,-17,66,0,0,0,0,0
1569342895656.25,8,-15,59,0,0,0,0,0
1569342895687.5,34,-13,55,0,0,0,0,0
1569342895718.75,23,-12,58,0,0,0,0,0
1569342895750,18,-16,55,0,0,0,0,0
1569342895781.25,25,-17,57,0,0,0,0,0
1569342895812.5,19,-18,58,0,0,0,0,0
1569342895843.75,16,-15,59,0,0,0,0,0
1569342895875,19,-15,56,0,0,0,0,0
