Timestamp,BVP,Note,AGG,ED,SIB,Condition
1559724733000,0,0,0,0,0,0
1559724733015.62,0,0,0,0,0,0
1559724733031.25,0,0,0,0,0,0
1559724733046.88,0,0,0,0,0,0
1559724733062.5,0,0,0,0,0,0
1559724733078.12,0,0,0,0,0,0
1559724733093.75,0,0,0,0,0,0
1559724733109.38,0,0,0,0,0,0
1559724733125,0,0,0,0,0,0
1559724733140.62,0,0,0,0,0,0
1559724733156.25,0,0,0,0,0,0
1559724733171.88,0,0,0,0,0,0
1559724733187.5,0,0,0,0,0,0
1559724733203.12,0,0,0,0,0,0
1559724733218.75,0,0,0,0,0,0
1559724733234.38,0,0,0,0,0,0
1559724733250,0,0,0,0,0,0
1559724733265.62,0,0,0,0,0,0
1559724733281.25,0,0,0,0,0,0
1559724733296.88,0,0,0,0,0,0
1559724733312.5,0,0,0,0,0,0
1559724733328.12,0,0,0,0,0,0
1559724733343.75,0,0,0,0,0,0
1559724733359.38,0,0,0,0,0,0
1559724733375,0,0,0,0,0,0
1559724733390.62,0,0,0,0,0,0
1559724733406.25,0,0,0,0,0,0
1559724733421.88,0,0,0,0,0,0
1559724733437.5,0,0,0,0,0,0
1559724733453.12,0,0,0,0,0,0
1559724733468.75,0,0,0,0,0,0
1559724733484.38,0,0,0,0,0,0
1559724733500,0,0,0,0,0,0
1559724733515.62,0,0,0,0,0,0
1559724733531.25,0,0,0,0,0,0
1559724733546.88,0,0,0,0,0,0
1559724733562.5,0,0,0,0,0,0
1559724733578.12,0,0,0,0,0,0
1559724733593.75,0,0,0,0,0,0
1559724733609.38,0,0,0,0,0,0
1559724733625,0,0,0,0,0,0
1559724733640.62,0,0,0,0,0,0
1559724733656.25,0,0,0,0,0,0
1559724733671.88,0,0,0,0,0,0
1559724733687.5,0,0,0,0,0,0
1559724733703.12,0,0,0,0,0,0
1559724733718.75,0,0,0,0,0,0
1559724733734.38,0,0,0,0,0,0
1559724733750,0,0,0,0,0,0
1559724733765.62,0,0,0,0,0,0
1559724733781.25,0,0,0,0,0,0
1559724733796.88,0,0,0,0,0,0
1559724733812.5,0,0,0,0,0,0
1559724733828.12,0,0,0,0,0,0
1559724733843.75,0,0,0,0,0,0
1559724733859.38,0,0,0,0,0,0
1559724733875,0,0,0,0,0,0
1559724733890.62,0,0,0,0,0,0
1559724733906.25,0,0,0,0,0,0
1559724733921.88,0,0,0,0,0,0
1559724733937.5,0,0,0,0,0,0
1559724733953.12,0,0,0,0,0,0
1559724733968.75,0,0,0,0,0,0
1559724733984.38,0,1,0,0,0,0
1559724734000,0,1,0,0,0,0
1559724734015.62,0,1,0,0,0,0
1559724734031.25,0,1,0,0,0,0
1559724734046.88,0,1,0,0,0,0
1559724734062.5,0,1,0,0,0,0
1559724734078.12,0,1,0,0,0,0
1559724734093.75,0,1,0,0,0,0
1559724734109.38,0,1,0,0,0,0
1559724734125,0,1,0,0,0,0
1559724734140.62,0,1,0,0,0,0
1559724734156.25,0,1,0,0,0,0
1559724734171.88,0,1,0,0,0,0
1559724734187.5,0,1,0,0,0,0
1559724734203.12,0,1,0,0,0,0
1559724734218.75,0,1,0,0,0,0
1559724734234.38,0,1,0,0,0,0
1559724734250,0,0,0,0,0,0
1559724734265.62,0,0,0,0,0,0
1559724734281.25,0,0,0,0,0,0
1559724734296.88,0,0,0,0,0,0
1559724734312.5,0,0,0,0,0,0
1559724734328.12,0,0,0,0,0,0
1559724734343.75,0,0,0,0,0,0
1559724734359.38,0,0,0,0,0,0
1559724734375,0,0,0,0,0,0
1559724734390.62,0,0,0,0,0,0
1559724734406.25,0,0,0,0,0,0
1559724734421.88,0,0,0,0,0,0
1559724734437.5,0,0,0,0,0,0
1559724734453.12,0,0,0,0,0,0
1559724734468.75,0,0,0,0,0,0
1559724734484.38,0,0,0,0,0,0
1559724734500,0,0,0,0,0,0
1559724734515.62,0,0,0,0,0,0
1559724734531.25,0,0,0,0,0,0
1559724734546.88,0,0,0,0,0,0
