Timestamp,BVP,Note,AGG,ED,SIB,Condition
1564072575000,0,0,0,0,0,0
1564072575015.63,0,0,0,0,0,0
1564072575031.25,0,0,0,0,0,0
1564072575046.88,0,0,0,0,0,0
1564072575062.5,0,0,0,0,0,0
1564072575078.13,0,0,0,0,0,0
1564072575093.75,0,0,0,0,0,0
1564072575109.38,0,0,0,0,0,0
1564072575125,0,0,0,0,0,0
1564072575140.63,0,0,0,0,0,0
1564072575156.25,0,0,0,0,0,0
1564072575171.88,0,0,0,0,0,0
1564072575187.5,0,0,0,0,0,0
1564072575203.13,0,0,0,0,0,0
1564072575218.75,0,0,0,0,0,0
1564072575234.38,0,0,0,0,0,0
1564072575250,0,1,0,0,0,0
1564072575265.63,0,1,0,0,0,0
1564072575281.25,0,1,0,0,0,0
1564072575296.88,0,1,0,0,0,0
1564072575312.5,0,1,0,0,0,0
1564072575328.13,0,1,0,0,0,0
1564072575343.75,0,1,0,0,0,0
1564072575359.38,0,1,0,0,0,0
1564072575375,0,1,0,0,0,0
1564072575390.63,0,1,0,0,0,0
1564072575406.25,0,1,0,0,0,0
1564072575421.88,0,1,0,0,0,0
1564072575437.5,0,1,0,0,0,0
1564072575453.13,0,1,0,0,0,0
1564072575468.75,0,1,0,0,0,0
1564072575484.38,0,1,0,0,0,0
1564072575500,0,1,0,0,0,0
1564072575515.63,0,1,0,0,0,0
1564072575531.25,0,1,0,0,0,0
1564072575546.88,0,1,0,0,0,0
1564072575562.5,0,1,0,0,0,0
1564072575578.13,0,1,0,0,0,0
1564072575593.75,0,1,0,0,0,0
1564072575609.38,0,1,0,0,0,0
1564072575625,0,1,0,0,0,0
1564072575640.63,0,1,0,0,0,0
1564072575656.25,0,1,0,0,0,0
1564072575671.88,0,1,0,0,0,0
1564072575687.5,0,1,0,0,0,0
1564072575703.13,0,1,0,0,0,0
1564072575718.75,0,1,0,0,0,0
1564072575734.38,0,1,0,0,0,0
1564072575750,0,1,0,0,0,0
1564072575765.63,0,1,0,0,0,0
1564072575781.25,0,1,0,0,0,0
1564072575796.88,0,1,0,0,0,0
1564072575812.5,0,1,0,0,0,0
1564072575828.13,0,1,0,0,0,0
1564072575843.75,0,0,0,0,0,0
1564072575859.38,0,0,0,0,0,0
1564072575875,0,0,0,0,0,0
1564072575890.63,0,0,0,0,0,0
1564072575906.25,0,0,0,0,0,0
1564072575921.88,0,0,0,0,0,0
1564072575937.5,0,0,0,0,0,0
1564072575953.13,0,0,0,0,0,0
1564072575968.75,0,0,0,0,0,0
1564072575984.38,0,0,0,0,0,0
1564072576000,0,0,0,0,0,0
1564072576015.63,0,0,0,0,0,0
1564072576031.25,0,0,0,0,0,0
1564072576046.88,0,0,0,0,0,0
1564072576062.5,0,0,0,0,0,0
1564072576078.13,0,0,0,0,0,0
1564072576093.75,0,0,0,0,0,0
1564072576109.38,0,0,0,0,0,0
1564072576125,0,0,0,0,0,0
1564072576140.63,0,0,0,0,0,0
1564072576156.25,0,0,0,0,0,0
1564072576171.88,0,0,0,0,0,0
1564072576187.5,0,0,0,0,0,0
1564072576203.13,0,0,0,0,0,0
1564072576218.75,0,0,0,0,0,0
1564072576234.38,0,0,0,0,0,0
1564072576250,0,0,0,0,0,0
1564072576265.63,0,0,0,0,0,0
1564072576281.25,0,0,0,0,0,0
1564072576296.88,0,0,0,0,0,0
1564072576312.5,0,0,0,0,0,0
1564072576328.13,0,0,0,0,0,0
1564072576343.75,0,0,0,0,0,0
1564072576359.38,0,0,0,0,0,0
1564072576375,0,0,0,0,0,0
1564072576390.63,0,0,0,0,0,0
1564072576406.25,0,0,0,0,0,0
1564072576421.88,0,0,0,0,0,0
1564072576437.5,0,0,0,0,0,0
1564072576453.13,0,0,0,0,0,0
1564072576468.75,0,0,0,0,0,0
1564072576484.38,0,0,0,0,0,0
1564072576500,0,0,0,0,0,0
1564072576515.63,0,0,0,0,0,0
1564072576531.25,0,0,0,0,0,0
1564072576546.88,0,0,0,0,0,0
1564072576562.5,0,0,0,0,0,0
1564072576578.13,0,0,0,0,0,0
1564072576593.75,0,0,0,0,0,0
1564072576609.38,0,0,0,0,0,0
1564072576625,0,0,0,0,0,0
1564072576640.63,0,0,0,0,0,0
1564072576656.25,0,0,0,0,0,0
1564072576671.88,0,0,0,0,0,0
1564072576687.5,0,0,0,0,0,0
1564072576703.13,0,0,0,0,0,0
1564072576718.75,0,0,0,0,0,0
1564072576734.38,0,0,0,0,0,0
1564072576750,0,0,0,0,0,0
1564072576765.63,0,0,0,0,0,0
1564072576781.25,0,0,0,0,0,0
1564072576796.88,0,0,0,0,0,0
1564072576812.5,0,0,0,0,0,0
1564072576828.13,0,0,0,0,0,0
1564072576843.75,0,0,0,0,0,0
1564072576859.38,0,0,0,0,0,0
