Timestamp,ACC_X,ACC_Y,ACC_Z,Note,AGG,ED,SIB,Condition
1565105767000,-2,-56,19,0,0,0,0,0
1565105767031.25,-5,-51,21,0,0,0,0,0
1565105767062.5,-7,-49,11,0,0,0,0,0
1565105767093.75,-19,-45,15,0,0,0,0,0
1565105767125,-11,-40,24,0,0,0,0,0
1565105767156.25,-9,-37,19,0,0,0,0,0
1565105767187.5,-12,-35,10,0,0,0,0,0
1565105767218.75,-17,-32,13,0,0,0,0,0
1565105767250,-5,-30,19,0,0,0,0,0
1565105767281.25,-8,-34,13,0,0,0,0,0
1565105767312.5,-25,-37,10,0,0,0,0,0
1565105767343.75,-24,-40,19,0,0,0,0,0
1565105767375,-11,-56,10,0,0,0,0,0
1565105767406.25,-18,-63,13,0,0,0,0,0
1565105767437.5,-5,-67,9,0,0,0,0,0
1565105767468.75,3,-65,-6,0,0,0,0,0
1565105767500,-25,-86,-14,0,0,0,0,0
1565105767531.25,-22,-95,-4,0,0,0,0,0
1565105767562.5,-40,-88,-6,0,0,0,0,0
1565105767593.75,-19,-96,-10,0,0,0,0,0
1565105767625,-25,-101,-9,0,0,0,0,0
1565105767656.25,-1,-122,-3,0,0,0,0,0
1565105767687.5,-7,-128,-19,0,0,0,0,0
1565105767718.75,-33,-128,-18,0,0,0,0,0
1565105767750,-7,-128,-20,0,0,0,0,0
1565105767781.25,-61,-119,-76,0,0,0,0,0
1565105767812.5,-105,-112,-65,0,0,0,0,0
1565105767843.75,-64,-92,-44,0,0,0,0,0
1565105767875,-54,-90,-50,0,0,0,0,0
1565105767906.25,-100,-52,-35,0,0,0,0,0
1565105767937.5,-122,-46,-44,0,0,0,0,0
1565105767968.75,-75,-31,-42,0,0,0,0,0
1565105768000,-43,-18,-5,0,0,0,0,0
1565105768031.25,-71,-16,-15,0,0,0,0,0
1565105768062.5,-40,-7,-7,0,0,0,0,0
1565105768093.75,-37,2,-18,0,0,0,0,0
1565105768125,-38,13,-18,0,0,0,0,0
1565105768156.25,-18,6,3,0,0,0,0,0
1565105768187.5,-22,8,-28,0,0,0,0,0
1565105768218.75,-25,6,-33,0,0,0,0,0
1565105768250,-30,11,-29,0,0,0,0,0
1565105768281.25,-16,6,-22,0,0,0,0,0
1565105768312.5,-15,-3,-16,0,0,0,0,0
1565105768343.75,-20,-5,-13,0,0,0,0,0
1565105768375,2,-8,14,0,0,0,0,0
1565105768406.25,28,-14,36,0,0,0,0,0
1565105768437.5,16,-17,25,0,0,0,0,0
1565105768468.75,-6,-11,11,0,0,0,0,0
1565105768500,-26,-8,24,0,0,0,0,0
1565105768531.25,-75,-5,-27,0,0,0,0,0
1565105768562.5,-112,0,-42,0,0,0,0,0
1565105768593.75,-91,15,-46,0,0,0,0,0
1565105768625,-88,22,-59,0,0,0,0,0
1565105768656.25,-106,21,-73,0,0,0,0,0
1565105768687.5,-71,27,-78,0,0,0,0,0
1565105768718.75,-47,22,-49,0,0,0,0,0
1565105768750,-58,14,-40,0,0,0,0,0
1565105768781.25,-66,-6,-20,0,0,0,0,0
1565105768812.5,-59,-9,-12,0,0,0,0,0
1565105768843.75,-74,-8,-26,0,0,0,0,0
1565105768875,-79,1,-41,0,0,0,0,0
1565105768906.25,-77,8,-46,0,0,0,0,0
1565105768937.5,-59,20,-51,0,0,0,0,0
1565105768968.75,-57,25,-53,0,0,0,0,0
1565105769000,-34,33,-58,0,0,0,0,0
1565105769031.25,-24,38,-59,0,0,0,0,0
