Timestamp,BVP,Note,AGG,ED,SIB,Condition
1562684273000,-0,0,0,0,0,0
1562684273015.63,-0,0,0,0,0,0
1562684273031.25,-0,0,0,0,0,0
1562684273046.88,-0,0,0,0,0,0
1562684273062.5,-0,0,0,0,0,0
1562684273078.13,-0,0,0,0,0,0
1562684273093.75,-0,0,0,0,0,0
1562684273109.38,-0,0,0,0,0,0
1562684273125,-0,0,0,0,0,0
1562684273140.63,-0,0,0,0,0,0
1562684273156.25,0,0,0,0,0,0
1562684273171.88,0.01,0,0,0,0,0
1562684273187.5,0.01,0,0,0,0,0
1562684273203.13,-0,0,0,0,0,0
1562684273218.75,-0.03,0,0,0,0,0
1562684273234.38,-0.05,0,0,0,0,0
1562684273250,-0.05,0,0,0,0,0
1562684273265.63,0,0,0,0,0,0
1562684273281.25,0.13,0,0,0,0,0
1562684273296.88,0.36,0,0,0,0,0
1562684273312.5,0.66,0,0,0,0,0
1562684273328.13,1.01,0,0,0,0,0
1562684273343.75,1.37,0,0,0,0,0
1562684273359.38,1.72,0,0,0,0,0
1562684273375,2.06,0,0,0,0,0
1562684273390.63,2.4,0,0,0,0,0
1562684273406.25,2.79,0,0,0,0,0
1562684273421.88,3.24,0,0,0,0,0
1562684273437.5,3.8,0,0,0,0,0
1562684273453.13,4.42,0,0,0,0,0
1562684273468.75,5.06,0,0,0,0,0
1562684273484.38,5.66,0,0,0,0,0
1562684273500,6.2,0,0,0,0,0
1562684273515.63,6.68,0,0,0,0,0
1562684273531.25,7.15,0,0,0,0,0
1562684273546.88,7.68,0,0,0,0,0
1562684273562.5,8.31,0,0,0,0,0
1562684273578.13,9.14,0,0,0,0,0
1562684273593.75,10.09,0,0,0,0,0
1562684273609.38,11.04,0,0,0,0,0
1562684273625,11.88,0,0,0,0,0
1562684273640.63,12.56,0,0,0,0,0
1562684273656.25,13.14,0,0,0,0,0
1562684273671.88,13.76,0,0,0,0,0
1562684273687.5,14.65,0,0,0,0,0
1562684273703.13,15.96,0,0,0,0,0
1562684273718.75,17.91,0,0,0,0,0
1562684273734.38,20.32,0,0,0,0,0
1562684273750,22.9,0,0,0,0,0
1562684273765.63,25.38,0,0,0,0,0
1562684273781.25,27.58,0,0,0,0,0
1562684273796.88,29.57,0,0,0,0,0
1562684273812.5,31.68,0,0,0,0,0
1562684273828.13,34.32,0,0,0,0,0
1562684273843.75,37.81,0,0,0,0,0
1562684273859.38,42.54,0,0,0,0,0
1562684273875,48.15,0,0,0,0,0
1562684273890.63,54.1,0,0,0,0,0
1562684273906.25,59.83,0,0,0,0,0
1562684273921.88,64.97,0,0,0,0,0
1562684273937.5,69.58,0,0,0,0,0
1562684273953.13,74.14,0,0,0,0,0
1562684273968.75,79.34,0,0,0,0,0
1562684273984.38,85.71,0,0,0,0,0
1562684274000,93.76,0,0,0,0,0
1562684274015.63,103,0,0,0,0,0
1562684274031.25,112.62,0,0,0,0,0
1562684274046.88,121.73,0,0,0,0,0
1562684274062.5,129.77,0,0,0,0,0
1562684274078.13,136.75,0,0,0,0,0
1562684274093.75,143.3,0,0,0,0,0
1562684274109.38,150.75,0,0,0,0,0
1562684274125,157.77,0,0,0,0,0
1562684274140.63,166.64,0,0,0,0,0
1562684274156.25,177.95,0,0,0,0,0
1562684274171.88,191.79,0,0,0,0,0
1562684274187.5,206.97,0,0,0,0,0
1562684274203.13,220.57,0,0,0,0,0
1562684274218.75,228.25,0,0,0,0,0
1562684274234.38,225.36,0,0,0,0,0
1562684274250,208.53,0,0,0,0,0
1562684274265.63,176.87,0,0,0,0,0
1562684274281.25,132.76,0,0,0,0,0
1562684274296.88,80.05,0,0,0,0,0
1562684274312.5,23.07,0,0,0,0,0
1562684274328.13,-34.94,0,0,0,0,0
1562684274343.75,-92.44,0,0,0,0,0
1562684274359.38,-149.16,0,0,0,0,0
1562684274375,-205.23,0,0,0,0,0
1562684274390.63,-260.37,0,0,0,0,0
1562684274406.25,-313.74,0,0,0,0,0
1562684274421.88,-363.87,0,0,0,0,0
1562684274437.5,-409.83,0,0,0,0,0
1562684274453.13,-450.9,0,0,0,0,0
1562684274468.75,-486.48,0,0,0,0,0
1562684274484.38,-515.71,0,0,0,0,0
1562684274500,-537.17,0,0,0,0,0
1562684274515.63,-549.14,0,0,0,0,0
1562684274531.25,-549.85,0,0,0,0,0
1562684274546.88,-538.22,0,0,0,0,0
1562684274562.5,-514.02,0,0,0,0,0
1562684274578.13,-478.44,0,0,0,0,0
1562684274593.75,-433.59,0,0,0,0,0
1562684274609.38,-382.1,0,0,0,0,0
1562684274625,-326.61,0,0,0,0,0
1562684274640.63,-269.37,0,0,0,0,0
1562684274656.25,-212.09,0,0,0,0,0
1562684274671.88,-156.05,0,0,0,0,0
1562684274687.5,-102.27,0,0,0,0,0
1562684274703.13,-51.62,0,0,0,0,0
1562684274718.75,-5.08,0,0,0,0,0
1562684274734.38,36.49,0,0,0,0,0
1562684274750,72.42,0,0,0,0,0
1562684274765.63,102.43,0,0,0,0,0
1562684274781.25,126.68,0,0,0,0,0
1562684274796.88,145.66,0,0,0,0,0
1562684274812.5,160.09,0,0,0,0,0
1562684274828.13,170.68,0,0,0,0,0
1562684274843.75,178.04,0,0,0,0,0
1562684274859.38,182.57,0,0,0,0,0
1562684274875,184.57,0,0,0,0,0
1562684274890.63,184.26,0,0,0,0,0
1562684274906.25,181.92,0,0,0,0,0
1562684274921.88,177.9,0,0,0,0,0
1562684274937.5,172.59,0,0,0,0,0
1562684274953.13,166.42,0,0,0,0,0
1562684274968.75,159.73,0,0,0,0,0
1562684274984.38,152.76,0,0,0,0,0
1562684275000,145.67,0,0,0,0,0
1562684275015.63,138.51,0,0,0,0,0
1562684275031.25,131.34,0,0,0,0,0
1562684275046.88,124.2,0,0,0,0,0
1562684275062.5,117.15,0,0,0,0,0
1562684275078.13,110.27,0,0,0,0,0
1562684275093.75,103.61,0,0,0,0,0
1562684275109.38,97.24,0,0,0,0,0
1562684275125,91.19,0,0,0,0,0
1562684275140.63,85.47,0,0,0,0,0
1562684275156.25,80.11,0,0,0,0,0
1562684275171.88,75.09,0,0,0,0,0
1562684275187.5,70.45,0,0,0,0,0
1562684275203.13,66.18,0,0,0,0,0
1562684275218.75,62.29,0,0,0,0,0
1562684275234.38,58.78,0,0,0,0,0
1562684275250,55.66,0,0,0,0,0
1562684275265.63,52.91,0,0,0,0,0
1562684275281.25,50.55,0,0,0,0,0
1562684275296.88,48.57,0,0,0,0,0
1562684275312.5,46.96,0,0,0,0,0
1562684275328.13,45.71,0,0,0,0,0
1562684275343.75,44.81,0,0,0,0,0
1562684275359.38,44.18,0,0,0,0,0
1562684275375,43.77,0,0,0,0,0
1562684275390.63,43.44,0,0,0,0,0
1562684275406.25,43.07,0,0,0,0,0
1562684275421.88,42.47,0,0,0,0,0
1562684275437.5,41.47,0,0,0,0,0
1562684275453.13,39.89,0,0,0,0,0
1562684275468.75,37.59,0,0,0,0,0
1562684275484.38,34.47,0,0,0,0,0
1562684275500,30.52,0,0,0,0,0
1562684275515.63,25.76,0,0,0,0,0
1562684275531.25,20.27,0,0,0,0,0
1562684275546.88,14.23,0,0,0,0,0
1562684275562.5,7.86,0,0,0,0,0
1562684275578.13,1.43,0,0,0,0,0
1562684275593.75,-4.79,0,0,0,0,0
1562684275609.38,-10.56,0,0,0,0,0
1562684275625,-15.64,0,0,0,0,0
1562684275640.63,-19.88,0,0,0,0,0
1562684275656.25,-23.15,0,0,0,0,0
1562684275671.88,-25.43,0,0,0,0,0
1562684275687.5,-26.71,0,0,0,0,0
1562684275703.13,-27.07,0,0,0,0,0
1562684275718.75,-26.62,0,0,0,0,0
1562684275734.38,-25.47,0,0,0,0,0
1562684275750,-23.75,0,0,0,0,0
1562684275765.63,-21.61,0,0,0,0,0
1562684275781.25,-19.15,0,0,0,0,0
1562684275796.88,-16.46,0,0,0,0,0
1562684275812.5,-13.63,0,0,0,0,0
1562684275828.13,-10.69,0,0,0,0,0
1562684275843.75,-7.73,0,0,0,0,0
1562684275859.38,-4.8,0,0,0,0,0
1562684275875,-1.93,0,0,0,0,0
1562684275890.63,0.86,0,0,0,0,0
1562684275906.25,3.57,0,0,0,0,0
1562684275921.88,6.2,0,0,0,0,0
1562684275937.5,8.79,0,0,0,0,0
1562684275953.13,11.4,0,0,0,0,0
1562684275968.75,14.08,0,0,0,0,0
1562684275984.38,16.85,0,0,0,0,0
1562684276000,19.72,0,0,0,0,0
1562684276015.63,22.72,0,0,0,0,0
1562684276031.25,25.88,0,0,0,0,0
1562684276046.88,29.21,0,0,0,0,0
1562684276062.5,32.73,0,0,0,0,0
1562684276078.13,36.45,0,0,0,0,0
1562684276093.75,40.36,0,0,0,0,0
1562684276109.38,44.49,0,0,0,0,0
1562684276125,48.69,0,0,0,0,0
1562684276140.63,52.89,0,0,0,0,0
1562684276156.25,57.04,0,0,0,0,0
1562684276171.88,61.15,0,0,0,0,0
1562684276187.5,65.21,0,0,0,0,0
1562684276203.13,69.28,0,0,0,0,0
1562684276218.75,73.45,0,0,0,0,0
1562684276234.38,77.8,0,0,0,0,0
1562684276250,82.45,0,0,0,0,0
1562684276265.63,87.24,0,0,0,0,0
1562684276281.25,92.08,0,0,0,0,0
1562684276296.88,96.87,0,0,0,0,0
1562684276312.5,101.56,0,0,0,0,0
1562684276328.13,106.09,0,0,0,0,0
1562684276343.75,110.47,0,0,0,0,0
1562684276359.38,114.69,0,0,0,0,0
1562684276375,118.81,0,0,0,0,0
1562684276390.63,122.93,0,0,0,0,0
1562684276406.25,126.85,0,0,0,0,0
1562684276421.88,130.4,0,0,0,0,0
1562684276437.5,133.48,0,0,0,0,0
1562684276453.13,135.95,0,0,0,0,0
1562684276468.75,137.59,0,0,0,0,0
1562684276484.38,138.08,0,0,0,0,0
1562684276500,136.92,0,0,0,0,0
1562684276515.63,133.36,0,0,0,0,0
1562684276531.25,128.82,0,0,0,0,0
1562684276546.88,123.72,0,0,0,0,0
1562684276562.5,118.31,0,0,0,0,0
1562684276578.13,112.68,0,0,0,0,0
1562684276593.75,106.89,0,0,0,0,0
1562684276609.38,100.96,0,0,0,0,0
1562684276625,94.96,0,0,0,0,0
1562684276640.63,88.95,0,0,0,0,0
1562684276656.25,83.05,0,0,0,0,0
1562684276671.88,77.47,0,0,0,0,0
1562684276687.5,72.04,0,0,0,0,0
1562684276703.13,66.69,0,0,0,0,0
1562684276718.75,61.39,0,0,0,0,0
1562684276734.38,56.12,0,0,0,0,0
1562684276750,50.84,0,0,0,0,0
1562684276765.63,45.56,0,0,0,0,0
1562684276781.25,40.31,0,0,0,0,0
1562684276796.88,35.16,0,0,0,0,0
1562684276812.5,30.24,0,0,0,0,0
1562684276828.13,25.47,0,0,0,0,0
1562684276843.75,20.9,0,0,0,0,0
1562684276859.38,16.63,0,0,0,0,0
1562684276875,12.83,0,0,0,0,0
1562684276890.63,9.65,0,0,0,0,0
1562684276906.25,7.27,0,0,0,0,0
1562684276921.88,5.8,0,0,0,0,0
1562684276937.5,5.32,0,0,0,0,0
1562684276953.13,5.83,0,0,0,0,0
1562684276968.75,7.1,0,0,0,0,0
1562684276984.38,8.87,0,0,0,0,0
1562684277000,10.88,0,0,0,0,0
1562684277015.63,12.91,0,0,0,0,0
1562684277031.25,14.76,0,0,0,0,0
1562684277046.88,16.31,0,0,0,0,0
1562684277062.5,17.49,0,0,0,0,0
1562684277078.13,18.3,0,0,0,0,0
1562684277093.75,18.78,0,0,0,0,0
1562684277109.38,18.93,0,0,0,0,0
1562684277125,18.79,0,0,0,0,0
1562684277140.63,18.42,0,0,0,0,0
1562684277156.25,17.92,0,0,0,0,0
1562684277171.88,17.36,0,0,0,0,0
1562684277187.5,16.84,0,0,0,0,0
1562684277203.13,16.4,0,0,0,0,0
1562684277218.75,16.06,0,0,0,0,0
1562684277234.38,15.75,0,0,0,0,0
1562684277250,15.29,0,0,0,0,0
1562684277265.63,14.48,0,0,0,0,0
1562684277281.25,13.1,0,0,0,0,0
1562684277296.88,10.97,0,0,0,0,0
1562684277312.5,8,0,0,0,0,0
1562684277328.13,4.21,0,0,0,0,0
1562684277343.75,-0.34,0,0,0,0,0
1562684277359.38,-5.49,0,0,0,0,0
1562684277375,-11.13,0,0,0,0,0
1562684277390.63,-17.15,0,0,0,0,0
1562684277406.25,-23.49,0,0,0,0,0
1562684277421.88,-30.06,0,0,0,0,0
1562684277437.5,-36.69,0,0,0,0,0
1562684277453.13,-43.12,0,0,0,0,0
1562684277468.75,-48.96,0,0,0,0,0
1562684277484.38,-53.86,0,0,0,0,0
1562684277500,-57.6,0,0,0,0,0
1562684277515.63,-60.17,0,0,0,0,0
1562684277531.25,-61.87,0,0,0,0,0
1562684277546.88,-63.18,0,0,0,0,0
1562684277562.5,-64.65,0,0,0,0,0
1562684277578.13,-66.71,0,0,0,0,0
1562684277593.75,-69.57,0,0,0,0,0
1562684277609.38,-73.16,0,0,0,0,0
1562684277625,-77.31,0,0,0,0,0
1562684277640.63,-81.87,0,0,0,0,0
1562684277656.25,-86.88,0,0,0,0,0
1562684277671.88,-92.68,0,0,0,0,0
1562684277687.5,-99.74,0,0,0,0,0
1562684277703.13,-108.51,0,0,0,0,0
1562684277718.75,-119.13,0,0,0,0,0
1562684277734.38,-131.37,0,0,0,0,0
1562684277750,-144.67,0,0,0,0,0
1562684277765.63,-158.35,0,0,0,0,0
1562684277781.25,-171.85,0,0,0,0,0
1562684277796.88,-184.95,0,0,0,0,0
1562684277812.5,-197.79,0,0,0,0,0
